Cordonnées 				Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU élargi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	Elévation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
45	143	0	90	42.32	156.66	132.63	72.93	67.11	15.41	50.31	39.24	2.79	14.05	0.82	0.029	7.03	2.35	0.33
45	153	0	90	40.09	155.42	131.18	71.89	66.95	15.38	50.19	38.28	2.73	14.02	0.82	0.028	8.11	2.46	0.30
45	163	0	90	41.34	156.94	132.65	71.81	66.83	15.34	50.26	39.85	2.62	15.20	0.83	0.029	8.69	2.64	0.30
45	173	0	90	40.30	158.70	134.21	71.52	66.72	15.30	50.30	41.68	2.70	15.43	0.83	0.029	8.73	2.78	0.32
45	183	0	90	42.72	160.05	135.59	71.48	66.53	15.24	50.38	43.13	2.78	15.49	0.83	0.030	9.50	3.00	0.32
45	193	0	90	41.53	160.53	136.04	70.59	66.21	15.11	50.38	43.94	2.85	15.41	0.83	0.030	9.32	3.11	0.33
45	203	0	90	41.20	158.98	134.53	70.42	66.19	15.10	50.57	42.22	2.86	14.76	0.83	0.030	9.62	3.14	0.33
45	213	0	90	42.75	159.95	135.69	71.82	66.52	15.15	50.84	42.59	2.89	14.75	0.83	0.030	9.54	3.28	0.34
45	223	0	90	42.16	162.52	137.68	71.61	66.94	15.25	51.02	44.56	2.85	15.61	0.83	0.031	10.87	3.52	0.32
45	233	0	90	39.97	164.03	138.54	71.55	67.81	15.46	51.48	44.73	2.66	16.84	0.83	0.031	10.81	3.53	0.33
45	243	0	90	42.70	165.45	140.05	73.71	68.69	15.65	51.96	44.80	2.83	15.85	0.83	0.031	10.87	3.70	0.34
45	253	0	90	42.64	171.28	145.26	72.91	68.91	15.68	52.51	49.87	2.94	16.95	0.84	0.033	11.13	4.04	0.36
45	263	0	90	44.28	173.48	147.97	74.57	68.94	15.66	52.87	51.67	3.01	17.17	0.84	0.035	13.11	4.23	0.32
45	273	0	90	45.84	170.61	145.10	74.16	68.94	15.64	52.99	48.68	2.97	16.37	0.83	0.033	12.34	4.10	0.33
45	283	0	90	45.62	168.29	142.90	74.42	68.96	15.65	53.01	46.33	3.07	15.09	0.83	0.033	11.58	3.97	0.34
45	293	0	90	42.02	167.91	142.27	73.85	69.05	15.70	52.93	45.94	2.84	16.18	0.83	0.032	11.28	3.92	0.35
45	303	0	90	45.42	166.28	140.92	74.04	68.86	15.64	52.94	44.48	3.10	14.34	0.83	0.032	11.05	3.93	0.36
45	313	0	90	44.53	165.35	140.02	73.06	68.29	15.52	52.94	44.13	3.09	14.27	0.83	0.032	10.98	3.88	0.35
45	323	0	90	43.34	166.83	141.28	72.26	67.96	15.45	53.06	45.81	2.98	15.39	0.83	0.032	10.17	3.89	0.38
45	333	0	90	43.37	166.16	140.66	71.80	67.53	15.36	53.10	45.53	2.91	15.67	0.83	0.032	10.78	3.75	0.35
45	343	0	90	41.16	165.27	140.09	71.85	67.21	15.31	53.09	44.97	2.96	15.20	0.83	0.031	10.79	3.70	0.34
45	353	0	90	46.52	165.49	140.73	72.31	66.81	15.23	52.96	45.72	3.07	14.87	0.83	0.032	10.35	3.79	0.37
45	363	0	90	43.25	164.75	139.87	71.40	66.66	15.25	52.79	45.30	3.11	14.56	0.83	0.031	10.07	3.65	0.36
45	373	0	90	41.90	163.35	138.13	69.89	66.27	15.17	52.60	44.47	2.97	14.97	0.83	0.030	9.76	3.43	0.35
45	383	0	90	39.69	162.14	137.24	69.94	65.92	15.08	52.44	43.79	2.86	15.31	0.83	0.030	9.23	3.16	0.34
45	393	0	90	40.85	161.53	137.07	70.20	65.45	14.96	52.24	43.83	2.93	14.94	0.83	0.030	8.65	3.02	0.35
45	403	0	90	42.49	161.81	137.95	70.33	64.87	14.82	51.90	45.04	2.98	15.11	0.83	0.031	8.30	2.99	0.36
45	413	0	90	39.19	160.03	136.06	68.90	64.17	14.64	51.47	44.40	2.99	14.87	0.83	0.030	8.44	2.88	0.34
45	423	0	90	44.00	158.20	134.63	68.36	63.58	14.48	51.10	43.53	3.05	14.27	0.83	0.030	7.36	2.65	0.36
55	423	0	90	40.96	158.34	134.30	67.71	63.71	14.50	51.48	43.14	2.94	14.67	0.83	0.029	7.87	2.66	0.34
55	413	0	90	43.05	159.81	135.95	68.72	64.04	14.58	51.72	44.05	3.03	14.55	0.83	0.030	8.69	2.92	0.34
55	403	0	90	37.14	161.26	137.07	68.96	64.67	14.72	52.04	44.55	3.00	14.84	0.83	0.030	8.30	3.00	0.36
55	393	0	90	43.09	162.61	137.93	69.00	65.35	14.89	52.44	44.82	2.93	15.29	0.83	0.030	8.88	3.06	0.35
55	383	0	90	45.10	162.23	137.71	70.90	65.85	14.99	52.66	43.72	3.09	14.17	0.83	0.030	8.95	3.19	0.36
55	373	0	90	43.16	163.37	138.90	71.83	66.40	15.09	52.81	44.16	3.17	13.95	0.83	0.031	8.88	3.39	0.38
55	363	0	90	41.87	165.18	140.22	71.43	66.74	15.15	52.93	45.50	3.02	15.09	0.83	0.031	9.56	3.65	0.38
55	353	0	90	42.86	165.92	141.12	72.39	66.86	15.14	52.97	46.08	2.96	15.59	0.83	0.032	10.25	3.77	0.37
55	343	0	90	43.89	165.37	140.65	73.01	67.11	15.17	52.98	45.28	3.07	14.73	0.83	0.032	10.48	3.73	0.36
55	333	0	90	40.87	164.97	139.54	70.99	67.02	15.12	52.86	45.09	2.98	15.14	0.83	0.031	10.26	3.76	0.37
55	323	0	90	42.65	166.22	141.10	72.51	67.35	15.16	52.80	46.07	3.11	14.80	0.83	0.033	10.30	3.97	0.39
55	313	0	90	41.96	164.99	139.32	71.76	67.70	15.22	52.64	44.66	2.86	15.59	0.83	0.031	12.21	4.01	0.33
55	303	0	90	44.32	166.18	140.85	73.79	68.41	15.34	52.77	45.00	3.03	14.83	0.83	0.032	11.35	3.96	0.35
55	293	0	90	43.10	166.98	141.33	73.26	68.76	15.42	52.73	45.50	2.95	15.43	0.83	0.032	11.60	3.92	0.34
55	283	0	90	43.32	167.10	141.31	73.34	68.83	15.42	52.74	45.54	2.99	15.24	0.83	0.032	11.48	3.92	0.34
