Cordonnées 				Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU élargi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	Elévation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
0	0	0	90	25.77	93.07	79.94	38.95	36.03	7.68	25.47	31.57	1.54	20.55	0.84	0.019	10.83	1.86	0.17
0	20	0	90	24.21	98.97	84.44	42.02	39.22	8.36	27.73	32.03	1.55	20.71	0.84	0.020	10.13	1.89	0.19
0	40	0	90	25.22	105.36	89.70	45.25	42.45	9.06	29.99	32.92	1.74	18.97	0.84	0.021	10.28	1.93	0.19
0	60	0	90	28.82	110.07	93.51	49.12	45.60	9.75	32.22	32.26	1.93	16.70	0.83	0.022	9.80	2.02	0.21
0	80	0	90	35.10	116.11	98.42	50.92	48.21	10.28	33.90	34.00	1.87	18.16	0.83	0.023	9.13	2.22	0.24
0	100	0	90	30.53	119.12	100.95	54.12	50.11	10.71	35.25	33.76	2.02	16.71	0.83	0.023	9.33	2.21	0.24
0	120	0	90	35.00	121.93	103.66	55.36	50.88	10.84	36.05	35.00	2.24	15.66	0.83	0.024	11.06	2.33	0.21
0	140	0	90	33.23	122.23	103.51	54.68	51.05	10.87	36.26	34.91	2.09	16.73	0.83	0.024	11.03	2.50	0.23
0	160	0	90	32.02	122.34	103.68	54.70	51.05	10.85	36.57	34.72	2.09	16.58	0.83	0.024	9.62	2.66	0.28
0	180	0	90	34.23	125.32	106.24	55.46	51.64	10.97	37.16	36.53	2.19	16.70	0.84	0.025	11.73	3.07	0.26
0	200	0	90	36.22	127.47	107.99	56.33	52.36	11.12	37.51	37.60	2.15	17.51	0.84	0.025	13.48	3.45	0.26
0	220	0	90	33.97	129.40	110.17	56.10	52.13	11.08	37.69	39.58	2.16	18.35	0.84	0.026	14.14	3.76	0.27
0	240	0	90	31.84	129.25	109.73	55.22	51.89	11.05	37.78	39.58	2.26	17.49	0.84	0.026	14.69	3.89	0.26
0	260	0	90	31.46	129.63	109.72	55.33	52.28	11.15	38.11	39.24	2.06	19.05	0.84	0.026	15.96	4.12	0.26
0	280	0	90	33.98	130.51	110.70	56.76	52.85	11.26	38.84	38.82	2.40	16.16	0.84	0.027	15.57	4.11	0.26
0	300	0	90	32.99	130.52	110.42	57.00	53.23	11.34	39.45	37.84	2.26	16.76	0.84	0.026	14.97	3.77	0.25
0	320	0	90	35.04	131.93	112.16	57.96	53.47	11.38	39.81	38.65	2.40	16.07	0.83	0.027	13.30	3.81	0.29
0	340	0	90	35.56	130.16	110.38	57.83	53.36	11.38	39.69	37.11	2.46	15.06	0.83	0.026	12.66	3.57	0.28
0	360	0	90	34.20	128.28	108.83	56.54	52.76	11.28	39.47	36.05	2.39	15.06	0.83	0.026	11.64	3.11	0.27
0	380	0	90	31.78	127.84	108.63	56.70	52.34	11.18	39.27	36.22	2.30	15.72	0.83	0.025	10.14	2.82	0.28
0	400	0	90	28.77	126.98	107.08	54.27	51.86	11.11	38.97	36.15	2.08	17.35	0.84	0.023	10.13	2.68	0.26
