Cordonnées 				Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU élargi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	Elévation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
0	0	0	0	0.67	2.91	2.50	0.73	0.73	0.18	1.48	0.70	0.07	10.31	0.83	0.000	5.24	0.05	0.01
0	50	0	0	0.82	3.46	2.98	0.87	0.87	0.22	1.76	0.83	0.09	9.11	0.83	0.001	5.02	0.06	0.01
0	100	0	0	1.05	4.64	4.00	1.17	1.16	0.29	2.36	1.13	0.12	9.50	0.83	0.001	5.17	0.08	0.02
0	150	0	0	1.43	6.27	5.40	1.56	1.56	0.38	3.17	1.54	0.17	9.13	0.83	0.001	4.99	0.12	0.02
0	200	0	0	1.91	8.33	7.18	2.07	2.06	0.51	4.21	2.06	0.23	9.12	0.83	0.001	5.09	0.15	0.03
0	250	0	0	2.74	11.97	10.31	2.97	2.96	0.73	6.04	2.97	0.33	8.90	0.83	0.002	5.00	0.22	0.04
0	300	0	0	3.38	14.83	12.79	3.67	3.66	0.90	7.47	3.70	0.43	8.65	0.83	0.003	5.01	0.28	0.06
0	350	0	0	3.76	16.57	14.29	4.09	4.08	1.00	8.34	4.15	0.48	8.65	0.83	0.003	4.97	0.31	0.06
0	400	0	0	3.75	16.44	14.18	4.05	4.03	1.00	8.29	4.12	0.48	8.63	0.83	0.003	4.96	0.31	0.06
0	450	0	0	3.38	14.80	12.76	3.64	3.63	0.90	7.47	3.70	0.43	8.67	0.83	0.003	4.98	0.28	0.06
0	500	0	0	2.79	12.19	10.51	3.02	3.01	0.75	6.15	3.03	0.35	8.77	0.83	0.002	5.01	0.23	0.05
0	550	0	0	2.16	9.44	8.13	2.35	2.34	0.59	4.77	2.33	0.26	8.94	0.83	0.002	5.06	0.18	0.03
0	600	0	0	1.60	7.00	6.02	1.75	1.75	0.44	3.53	1.72	0.19	9.01	0.83	0.001	5.06	0.13	0.03
0	650	0	0	1.36	5.93	5.10	1.49	1.48	0.37	2.99	1.45	0.16	9.09	0.83	0.001	5.09	0.11	0.02
0	700	0	0	0.97	4.23	3.64	1.07	1.07	0.27	2.14	1.03	0.11	9.48	0.83	0.001	5.14	0.08	0.01
0	750	0	0	0.72	3.16	2.72	0.80	0.80	0.20	1.60	0.76	0.08	9.86	0.83	0.001	5.18	0.06	0.01
0	800	0	0	0.56	2.41	2.07	0.61	0.61	0.15	1.22	0.58	0.06	10.33	0.83	0.000	5.27	0.04	0.01
50	800	0	0	0.56	2.41	2.07	0.61	0.61	0.15	1.22	0.58	0.06	10.18	0.83	0.000	5.30	0.04	0.01
50	750	0	0	0.72	3.12	2.68	0.79	0.79	0.20	1.58	0.75	0.08	9.83	0.83	0.001	5.19	0.06	0.01
50	700	0	0	1.01	4.39	3.78	1.11	1.10	0.28	2.22	1.07	0.11	9.31	0.83	0.001	5.13	0.08	0.02
50	650	0	0	1.43	6.25	5.38	1.57	1.56	0.39	3.16	1.53	0.17	9.09	0.83	0.001	5.05	0.11	0.02
50	600	0	0	2.42	10.63	9.16	2.62	2.62	0.66	5.37	2.64	0.30	8.78	0.83	0.002	4.98	0.20	0.04
50	550	0	0	3.55	15.57	13.42	3.83	3.82	0.95	7.85	3.90	0.45	8.64	0.83	0.003	4.97	0.29	0.06
50	500	0	0	4.98	21.89	18.88	5.38	5.36	1.33	11.03	5.49	0.64	8.62	0.83	0.004	4.96	0.41	0.08
50	450	0	0	6.52	28.63	24.70	7.00	6.98	1.73	14.42	7.23	0.85	8.51	0.83	0.005	4.94	0.54	0.11
50	400	0	0	7.55	33.09	28.56	8.09	8.06	1.99	16.65	8.38	1.00	8.42	0.83	0.006	4.90	0.63	0.13
50	350	0	0	7.68	33.76	29.13	8.26	8.24	2.02	16.97	8.55	1.01	8.45	0.83	0.006	4.90	0.65	0.13
50	300	0	0	6.74	29.56	25.51	7.23	7.21	1.76	14.88	7.47	0.88	8.50	0.83	0.005	4.92	0.56	0.11
50	250	0	0	5.17	22.61	19.50	5.57	5.56	1.36	11.38	5.67	0.66	8.55	0.83	0.004	4.95	0.43	0.09
50	200	0	0	3.48	15.29	13.19	3.77	3.76	0.92	7.71	3.82	0.44	8.66	0.83	0.003	4.97	0.29	0.06
