X	Y	Azimut	Elevation	Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU élargi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	Elévation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
72	210	0	90	51.77	196.56	169.10	78.99	73.48	16.04	54.06	69.01	3.02	22.84	0.85	0.040	12.37	4.25	0.34
72	220	0	90	47.16	177.96	151.65	74.53	70.02	15.26	52.35	55.59	2.95	18.86	0.84	0.035	10.44	3.61	0.35
72	230	0	90	41.84	170.60	144.51	74.31	70.12	15.31	52.28	48.20	2.97	16.22	0.83	0.032	9.02	3.16	0.35
72	240	0	90	43.30	180.37	153.90	76.90	71.24	15.56	53.76	55.37	2.97	18.65	0.84	0.035	10.31	3.61	0.35
72	250	0	90	45.49	187.58	160.26	78.46	72.96	15.86	54.50	60.12	2.93	20.52	0.84	0.037	11.29	4.10	0.36
72	260	0	90	44.87	184.03	156.37	80.06	74.90	16.21	55.10	54.03	3.22	16.77	0.84	0.036	12.74	4.36	0.34
72	270	0	90	47.79	184.53	156.11	81.53	76.53	16.47	55.69	52.30	3.15	16.58	0.83	0.036	12.91	4.85	0.38
72	280	0	90	50.71	189.83	160.88	85.23	79.28	16.97	56.66	53.88	3.33	16.20	0.83	0.038	12.15	4.90	0.40
72	290	0	90	52.57	197.17	167.85	86.81	80.18	17.08	57.32	59.67	3.38	17.66	0.84	0.040	13.12	5.02	0.38
72	300	0	90	48.03	194.06	164.28	86.52	80.61	17.07	58.25	55.19	3.41	16.17	0.83	0.039	13.64	5.56	0.41
72	310	0	90	51.44	197.30	166.54	89.59	83.51	17.63	60.00	53.79	3.54	15.20	0.83	0.039	13.40	5.39	0.40
72	320	0	90	56.79	204.78	173.92	91.31	84.07	17.68	61.27	59.45	3.84	15.50	0.83	0.042	14.11	6.00	0.43
72	330	0	90	54.69	211.16	179.60	88.96	83.26	17.49	61.47	66.42	3.51	18.95	0.84	0.045	17.78	7.22	0.41
72	340	0	90	54.93	209.07	178.12	87.54	81.53	17.05	61.83	65.70	3.77	17.44	0.84	0.044	15.02	7.08	0.47
72	350	0	90	52.63	201.72	171.49	86.55	80.02	16.78	62.01	59.69	3.77	15.82	0.84	0.042	14.21	6.28	0.44
72	360	0	90	53.81	213.99	182.53	86.17	80.82	17.03	62.61	70.56	3.60	19.62	0.85	0.045	19.88	7.42	0.37
72	370	0	90	52.19	201.81	170.50	86.32	81.71	17.34	63.22	56.88	3.72	15.29	0.84	0.039	13.80	5.78	0.42
72	380	0	90	53.95	201.08	169.92	88.92	82.96	17.71	64.36	53.76	3.91	13.74	0.83	0.040	12.69	5.47	0.43
72	390	0	90	54.06	204.72	173.12	88.58	83.13	17.85	64.34	57.25	3.90	14.68	0.83	0.041	13.73	5.87	0.43
72	400	0	90	55.67	205.36	174.40	88.61	82.27	17.77	63.77	59.32	4.09	14.51	0.83	0.042	13.39	6.02	0.45
72	410	0	90	53.41	201.53	171.17	84.36	79.10	17.18	61.51	60.91	3.44	17.73	0.84	0.040	14.83	6.09	0.41
72	420	0	90	50.65	198.24	169.43	79.45	74.64	16.29	58.95	64.65	3.51	18.42	0.84	0.042	15.71	6.55	0.42
72	430	0	90	47.49	184.36	157.30	75.22	70.46	15.45	56.18	57.72	3.21	17.97	0.84	0.038	15.24	5.77	0.38
72	440	0	90	41.74	179.41	153.30	71.50	67.06	14.81	54.69	57.66	3.12	18.48	0.84	0.036	13.96	5.26	0.38
72	450	0	90	41.80	176.23	150.48	70.38	66.33	14.66	54.47	55.43	3.22	17.20	0.84	0.035	10.95	4.03	0.37
72	460	0	90	43.02	174.38	149.27	71.90	66.45	14.71	54.43	53.50	3.17	16.89	0.84	0.034	9.64	3.52	0.36
72	470	0	90	46.87	177.23	151.48	73.15	68.45	15.15	55.20	53.58	3.22	16.66	0.83	0.035	7.83	3.10	0.40
82	470	0	90	39.44	165.46	141.24	67.80	63.99	14.16	51.39	50.09	3.07	16.30	0.84	0.032	8.81	3.00	0.34
82	460	0	90	42.65	164.14	140.91	66.34	61.28	13.52	50.89	51.98	2.94	17.69	0.84	0.032	10.37	3.39	0.33
82	450	0	90	46.33	165.78	142.66	65.81	60.54	13.35	50.43	54.80	3.22	17.03	0.84	0.035	12.47	4.24	0.34
82	440	0	90	47.31	169.47	145.65	66.95	61.81	13.62	51.02	56.64	3.23	17.54	0.84	0.036	13.64	4.98	0.37
82	430	0	90	42.37	172.62	147.65	70.05	65.16	14.32	52.45	55.01	3.03	18.15	0.84	0.035	13.91	5.16	0.37
82	420	0	90	51.10	186.81	160.71	74.58	68.70	15.04	54.45	63.67	3.25	19.58	0.84	0.041	15.34	6.06	0.39
82	410	0	90	45.43	185.41	157.72	75.37	71.49	15.57	56.42	57.50	3.29	17.50	0.84	0.038	15.46	5.84	0.38
82	400	0	90	49.29	179.39	151.73	79.19	73.76	15.97	57.59	48.04	3.43	14.02	0.83	0.035	12.24	4.74	0.39
82	390	0	90	53.42	179.62	152.23	80.21	73.99	15.94	58.11	47.52	3.59	13.25	0.83	0.036	11.18	4.70	0.42
82	380	0	90	45.90	173.00	145.82	78.50	72.73	15.56	57.64	42.63	3.51	12.16	0.82	0.033	11.24	4.17	0.37
82	370	0	90	45.62	178.15	151.08	76.96	71.59	15.22	56.89	49.67	3.33	14.92	0.83	0.035	13.23	5.13	0.39
82	360	0	90	51.03	182.91	155.91	77.37	71.29	15.04	56.53	55.09	3.61	15.27	0.84	0.038	14.85	5.91	0.40
