Cordonnées 				Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU élargi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	Elévation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
45	143	0	90	40.46	147.54	125.13	68.83	63.03	14.26	46.22	38.29	2.61	14.64	0.83	0.028	8.41	2.48	0.30
45	153	0	90	38.00	148.35	125.31	67.71	63.07	14.29	46.36	38.93	2.55	15.26	0.83	0.027	8.73	2.55	0.29
45	163	0	90	42.01	149.09	126.49	68.86	63.21	14.29	46.61	39.27	2.73	14.39	0.83	0.028	8.27	2.68	0.32
45	173	0	90	41.17	150.11	127.29	68.60	63.17	14.29	46.80	40.14	2.73	14.71	0.83	0.029	8.67	2.80	0.32
45	183	0	90	42.26	151.22	128.34	68.24	63.41	14.32	47.01	40.79	3.00	13.60	0.83	0.030	9.11	2.94	0.32
45	193	0	90	40.53	151.87	128.61	67.66	63.42	14.33	47.06	41.39	2.58	16.07	0.83	0.029	10.72	3.09	0.29
45	203	0	90	42.37	152.89	129.32	67.69	63.45	14.33	47.22	42.22	2.70	15.61	0.83	0.029	10.77	3.25	0.30
45	213	0	90	38.56	152.96	129.43	67.71	63.44	14.33	47.32	42.20	2.61	16.14	0.83	0.029	11.40	3.33	0.29
45	223	0	90	38.52	151.96	127.97	66.50	63.53	14.35	47.32	41.11	2.46	16.71	0.83	0.028	11.61	3.32	0.29
45	233	0	90	33.53	152.41	128.39	66.96	63.66	14.36	47.44	41.31	2.36	17.52	0.83	0.028	13.04	3.36	0.26
45	243	0	90	38.62	154.61	130.62	66.70	63.78	14.37	47.71	43.12	2.74	15.71	0.83	0.030	12.43	3.64	0.29
45	253	0	90	44.06	156.32	132.75	68.15	63.68	14.33	47.93	44.71	2.76	16.21	0.83	0.031	13.69	3.84	0.28
45	263	0	90	42.96	157.27	133.49	68.47	64.01	14.40	48.17	45.09	2.78	16.25	0.83	0.031	11.83	3.89	0.33
45	273	0	90	41.64	156.14	132.31	68.64	64.13	14.43	48.34	43.66	2.73	15.98	0.83	0.031	13.31	3.88	0.29
45	283	0	90	38.09	155.37	131.30	67.73	63.91	14.38	48.57	42.88	2.59	16.55	0.83	0.029	11.92	3.79	0.32
45	293	0	90	38.95	155.05	131.31	68.61	63.83	14.34	48.77	42.46	2.61	16.25	0.83	0.030	12.00	3.78	0.32
45	303	0	90	39.48	154.68	130.71	67.32	63.69	14.30	48.88	42.11	2.60	16.17	0.83	0.029	11.39	3.64	0.32
45	313	0	90	42.42	155.72	132.48	70.02	63.72	14.31	49.00	43.00	2.99	14.37	0.83	0.030	10.82	3.64	0.34
45	323	0	90	37.84	156.49	132.57	68.28	63.90	14.37	49.02	43.56	2.71	16.08	0.83	0.030	11.67	3.60	0.31
45	333	0	90	37.56	157.37	133.47	67.98	63.77	14.35	49.06	44.54	2.79	15.94	0.83	0.030	10.64	3.61	0.34
45	343	0	90	42.86	156.49	132.72	68.18	63.74	14.33	49.08	43.68	2.87	15.21	0.83	0.030	10.49	3.61	0.34
45	353	0	90	43.38	155.34	131.96	68.65	63.56	14.30	48.92	42.86	2.85	15.04	0.83	0.030	10.22	3.48	0.34
45	363	0	90	39.35	154.44	130.87	67.50	63.08	14.20	48.75	42.61	2.79	15.25	0.83	0.029	10.76	3.40	0.32
45	373	0	90	43.62	154.55	131.41	67.79	62.81	14.14	48.71	43.03	3.10	13.89	0.83	0.030	9.18	3.30	0.36
45	383	0	90	39.26	153.09	129.98	67.08	62.62	14.11	48.50	41.96	2.78	15.09	0.83	0.029	9.68	3.09	0.32
45	393	0	90	42.21	153.14	130.04	67.20	62.47	14.06	48.35	42.32	2.98	14.18	0.83	0.029	8.59	2.93	0.34
45	403	0	90	39.56	152.94	129.60	66.07	62.32	14.03	48.16	42.46	2.93	14.48	0.83	0.029	7.76	2.73	0.35
45	413	0	90	42.15	153.07	130.28	66.26	61.91	13.94	47.87	43.29	2.96	14.64	0.83	0.030	7.69	2.78	0.36
45	423	0	90	35.65	151.08	128.07	65.29	61.21	13.78	47.37	42.50	2.67	15.89	0.83	0.028	8.07	2.76	0.34
55	423	0	90	38.85	152.71	129.54	66.11	62.07	13.96	48.11	42.53	2.75	15.46	0.83	0.029	9.29	2.80	0.30
55	413	0	90	38.53	153.85	130.66	67.13	62.63	14.08	48.47	42.76	2.84	15.06	0.83	0.029	8.45	2.81	0.33
55	403	0	90	40.80	153.85	130.30	66.88	63.08	14.18	48.72	42.04	2.85	14.74	0.83	0.029	8.21	2.79	0.34
55	393	0	90	43.65	154.40	131.33	68.77	63.37	14.23	49.01	42.02	3.04	13.83	0.83	0.030	8.64	2.92	0.34
55	383	0	90	46.22	155.00	131.95	68.99	63.58	14.25	49.25	42.18	3.21	13.16	0.83	0.030	8.99	3.06	0.34
55	373	0	90	40.39	156.32	133.13	69.04	63.54	14.24	49.30	43.49	2.94	14.78	0.83	0.031	9.35	3.26	0.35
55	363	0	90	44.34	156.86	133.67	69.63	63.79	14.28	49.38	43.69	3.14	13.91	0.83	0.031	10.52	3.41	0.32
55	353	0	90	39.95	157.22	133.00	67.59	64.01	14.33	49.40	43.81	2.66	16.44	0.83	0.029	10.46	3.55	0.34
55	343	0	90	39.49	158.70	134.78	69.38	64.36	14.38	49.50	44.83	2.90	15.47	0.83	0.031	11.13	3.70	0.33
55	333	0	90	40.56	159.11	134.74	68.17	64.67	14.44	49.56	44.88	2.92	15.37	0.83	0.031	10.99	3.65	0.33
55	323	0	90	41.89	158.14	133.65	68.34	64.83	14.46	49.56	43.75	3.00	14.60	0.83	0.030	10.30	3.66	0.36
55	313	0	90	36.95	156.95	132.29	67.89	64.61	14.42	49.41	42.93	2.48	17.34	0.83	0.029	11.23	3.66	0.33
55	303	0	90	40.37	154.65	130.65	69.20	64.53	14.38	49.18	40.94	2.80	14.60	0.83	0.029	11.14	3.62	0.32
55	293	0	90	39.99	154.55	130.39	68.28	64.59	14.38	49.04	40.92	2.87	14.23	0.83	0.030	12.21	3.68	0.30
55	283	0	90	45.36	155.49	131.91	70.31	64.73	14.40	48.85	41.91	3.02	13.86	0.83	0.031	10.03	3.75	0.37
55	273	0	90	43.34	156.16	132.49	70.20	64.86	14.43	48.62	42.67	2.88	14.83	0.83	0.031	11.94	3.77	0.32
55	263	0	90	39.01	156.72	132.65	69.17	64.82	14.41	48.32	43.58	2.74	15.88	0.83	0.031	11.61	3.79	0.33
55	253	0	90	39.12	155.91	131.94	69.07	64.49	14.34	48.00	43.43	2.76	15.74	0.83	0.030	12.03	3.70	0.31
55	243	0	90	43.97	155.85	132.35	69.78	64.39	14.31	47.79	43.67	2.80	15.58	0.83	0.031	11.10	3.64	0.33
55	233	0	90	40.46	154.13	130.31	68.57	64.31	14.30	47.47	42.35	2.72	15.60	0.83	0.029	11.21	3.42	0.31
55	223	0	90	43.87	153.78	130.47	69.21	64.24	14.28	47.29	42.24	2.87	14.74	0.83	0.030	8.52	3.36	0.39
55	213	0	90	36.24	154.34	129.98	66.37	63.84	14.19	47.00	43.50	2.36	18.41	0.84	0.029	11.97	3.38	0.28
55	203	0	90	44.11	154.96	131.97	69.26	63.85	14.19	47.10	44.01	2.80	15.71	0.83	0.031	10.14	3.34	0.33
55	193	0	90	40.36	153.08	130.04	68.93	63.62	14.13	46.81	42.65	2.74	15.56	0.83	0.030	10.25	3.18	0.31
55	183	0	90	38.22	151.16	127.90	67.90	63.37	14.09	46.56	41.23	2.58	16.00	0.83	0.029	10.21	2.99	0.29
55	173	0	90	39.01	150.17	126.82	67.29	63.37	14.08	46.33	40.47	2.63	15.41	0.83	0.028	9.19	2.87	0.31
55	163	0	90	35.08	148.21	124.73	66.44	63.33	14.08	46.09	38.79	2.41	16.09	0.83	0.027	8.72	2.70	0.31
