Cordonn?s 	Cordonn?s 	Cordonn?s 	Cordonn?s 	Energie	Flux de photons	Efficience YPF	UVA-BLEU :	BLEU ?argi	BLEU strict	VERT	ROUGE CLAIR	ROUGE SOMBRE	RC/RS	PHI =	TETA =	ZETA =	RC	RS 
X	Y	Azimut	El?ation	300-1100 nm	400-700 nm	(yield photon flux)	350-500 nm	400-500 nm	445-455 nm	500-600 nm	600-700 nm	700-800 nm	600-700 /700-800 nm		(Sager et al. 1988)	655-665/725-735 nm	655-665 nm	725-735 nm
0	50	0	0	3.42	14.92	12.78	4.1	4.09	1.1	7.24	3.59	0.4	8.9	0.83	0.002	5.09	0.27	0.05
0	100	0	0	3.39	14.84	12.71	4.08	4.07	1.09	7.2	3.57	0.4	8.92	0.83	0.002	5.11	0.27	0.05
0	150	0	0	3.36	14.67	12.56	4.02	4.01	1.08	7.12	3.54	0.4	8.86	0.83	0.002	5.08	0.27	0.05
0	200	0	0	3.3	14.42	12.35	3.94	3.93	1.05	7.01	3.48	0.39	8.88	0.83	0.002	5.07	0.26	0.05
0	250	0	0	3.22	14.09	12.06	3.84	3.83	1.03	6.86	3.4	0.38	8.93	0.83	0.002	5.06	0.25	0.05
0	300	0	0	3.14	13.69	11.73	3.72	3.71	0.99	6.68	3.31	0.37	8.95	0.83	0.002	5.09	0.25	0.05
0	350	0	0	3.03	13.23	11.34	3.57	3.56	0.95	6.46	3.21	0.36	8.93	0.83	0.002	5.1	0.24	0.05
0	400	0	0	2.91	12.72	10.91	3.41	3.4	0.91	6.23	3.09	0.35	8.95	0.83	0.002	5.11	0.23	0.05
0	450	0	0	2.78	12.18	10.45	3.25	3.24	0.86	5.98	2.96	0.33	9.04	0.83	0.002	5.14	0.22	0.04
0	500	0	0	2.65	11.61	9.96	3.07	3.06	0.81	5.72	2.83	0.31	9	0.83	0.002	5.12	0.21	0.04
0	550	0	0	2.51	11	9.44	2.88	2.87	0.76	5.43	2.69	0.3	9.01	0.83	0.002	5.13	0.2	0.04
0	600	0	0	2.39	10.36	8.89	2.68	2.68	0.71	5.14	2.54	0.27	9.25	0.83	0.002	5.15	0.19	0.04
0	650	0	0	2.19	9.72	8.35	2.5	2.49	0.66	4.84	2.4	0.25	9.48	0.84	0.002	5.16	0.18	0.04
0	700	0	0	2.07	9.1	7.82	2.31	2.31	0.61	4.54	2.25	0.25	9.07	0.84	0.002	5.11	0.17	0.03
0	750	0	0	1.92	8.4	7.22	2.11	2.11	0.55	4.2	2.09	0.23	9.18	0.84	0.001	5.2	0.16	0.03
0	800	0	0	1.8	8.01	6.89	2	2	0.52	4.01	2	0.21	9.48	0.84	0.001	5.27	0.15	0.03
0	850	0	0	1.67	7.37	6.34	1.82	1.82	0.48	3.7	1.85	0.2	9.16	0.84	0.001	5.18	0.14	0.03
50	50	0	0	3.67	16.05	13.72	4.53	4.51	1.22	7.72	3.82	0.43	8.93	0.83	0.003	5.09	0.29	0.06
50	100	0	0	3.68	15.97	13.65	4.5	4.49	1.21	7.68	3.8	0.43	8.85	0.83	0.003	5.09	0.28	0.06
50	150	0	0	3.6	15.71	13.43	4.42	4.41	1.19	7.55	3.75	0.42	8.85	0.83	0.003	5.08	0.28	0.06
